Dependency Name,Repository,GitHub Star,GitHub Forks,GitHub Watchers,Abondoned,Code Coverage %,Linters,Dependenats,NPM Stars,Maintainers,Contributors,Dependencies,License,Total Issues,Open Issues,Security Advisories
extract-text-webpack-plugin,https://github.com/webpack-contrib/extract-text-webpack-plugin,4074,544,102,FALSE,,2,3969,103,8,0,4,MIT,819,0,0
ember-cli-release,https://github.com/lytics/ember-cli-release,92,17,13,FALSE,,2,8,1,2,0,11,MIT,79,18,7
ember-cli-htmlbars-inline-precompile,https://github.com/ember-cli/ember-cli-htmlbars-inline-precompile,67,33,6,FALSE,,2,199,0,4,0,6,MIT,406,0,0
jasmine,https://github.com/jasmine/jasmine-npm,348,132,25,FALSE,,2,784,64,4,0,2,MIT,182,7,0
underscore.string,https://github.com/epeli/underscore.string,3346,394,74,FALSE,,3,2529,56,4,9,2,MIT,524,123,0
url-loader,https://github.com/webpack-contrib/url-loader,1380,151,20,FALSE,0.99,3,8067,64,5,0,3,MIT,227,4,0
es6-promise,https://github.com/stefanpenner/es6-promise,7202,615,136,FALSE,,2,3761,91,2,0,0,MIT,360,28,0
browser-sync,https://github.com/BrowserSync/browser-sync,11615,760,254,FALSE,0.79,1,1971,435,1,0,30,Apache-2.0,1912,543,0
mime,https://github.com/broofa/mime,1735,300,22,FALSE,,1,4970,134,1,0,0,MIT,260,10,0
babel-preset-stage-2,https://github.com/babel/babel,37275,4430,867,FALSE,0.91,3,1028,15,4,0,4,MIT,11882,792,0
gulp-sass,https://github.com/dlmanning/gulp-sass,1526,395,38,FALSE,,2,1819,475,3,0,7,MIT,826,33,0
time-grunt,https://github.com/sindresorhus/time-grunt,530,73,11,FALSE,,2,105,53,1,0,7,MIT,91,0,0
jasmine-node,https://github.com/mhevery/jasmine-node,1544,310,32,FALSE,,0,184,30,3,0,8,MIT,446,103,1
bower,https://github.com/bower/bower,15101,1961,731,FALSE,0.85,3,798,586,2,0,44,MIT,2583,8,0
